"Lfd. Nr.","Gegenstand der Nachweisung","Alle Personen: erfasste Anzahl","Alle Personen: hochgerechnet 1000","Internetnutzer/-innen: erfasste Anzahl","Internetnutzer/-innen: hochgerechnet 1000","Internetnutzer/-innen letzte 3 Monate: erfasste Anzahl","Internetnutzer/-innen letzte 3 Monate: hochgerechnet 1000","Internetnutzer/-innen letzte 12 Monate: erfasste Anzahl","Internetnutzer/-innen letzte 12 Monate: hochgerechnet 1000","Online-EInkäufer/-innen letzte 3 Monate: erfasste Anzahl","Online-EInkäufer/-innen letzte 3 Monate: hochgerechnet 1000","Online-EInkäufer/-innen letzte 12 Monate: erfasste Anzahl","Online-EInkäufer/-innen letzte 12 Monate: hochgerechnet 1000","StartingAge","SurvYear","Geschlecht","GeschlechtNum"
"1","Deutschland ","21 930","74 019","20 289","66 484","19 750","64 424","19 984","65 319","13 308","43 862","15 120","50 080",10,2018,"Total",3
"2","Früheres Bundesgebiet (ohne Berlin)","17 513","59 590","16 257","53 769","15 860","52 233","16 048","52 969","10 816","35 887","12 279","40 967",10,2018,"Total",3
"3","Neue Länder einschl Berlin ","4 417","14 430","4 032","12 715","3 890","12 191","3 936","12 350","2 492","7 975","2 841","9 112",10,2018,"Total",3
"4","Alter: 10 - 15 ","2 312","4 502","2 285","4 451","2 269","4 418","2 284","4 449","520","1 004","673","1 297",10,2018,"Total",3
"5","Alter: 16 - 24 ","2 282","7 804","2 279","7 784","2 269","7 725","2 276","7 766","1 624","5 394","1 854","6 210",10,2018,"Total",3
"6","Alter: 25 - 44 ","4 930","20 688","4 920","20 603","4 904","20 516","4 910","20 546","4 300","17 606","4 618","19 078",10,2018,"Total",3
"7","Alter: 45 - 64 ","8 024","24 621","7 720","23 394","7 480","22 506","7 586","22 912","5 474","15 686","6 210","18 072",10,2018,"Total",3
"8","Alter: 65 Jahre und älter","4 382","16 403","3 085","10 252","2 828","9 259","2 928","9 647","1 390","4 171","1 765","5 423",10,2018,"Total",3
"9","Männlich - Komplett","10 318","36 563","9 670","33 841","9 432","32 900","9 523","33 265","6 350","22 637","7 213","25 827",10,2018,"Männlich",1
"10","Alter: 10 - 15 ","1 230","2 327","1 215","2 299","1 206","2 281","1 215","2 299","307","574","388","725",10,2018,"Männlich",1
"11","Alter: 16 - 24 ","1 102","4 109","1 101","4 102","1 097","4 072","1 099","4 087","769","2 775","890","3 231",10,2018,"Männlich",1
"12","Alter: 25 - 44 ","2 114","10 571","2 107","10 511","2 100","10 462","2 103","10 479","1 803","8 758","1 959","9 604",10,2018,"Männlich",1
"13","Alter: 45 - 64","3 693","12 263","3 572","11 730","3 467","11 285","3 504","11 455","2 613","8 061","2 905","9 123",10,2018,"Männlich",1
"14","Alter: 65 Jahre und älter","2 179","7 293","1 675","5 200","1 562","4 800","1 602","4 945","858","2 469","1 071","3 143",10,2018,"Männlich",1
"15","Weiblich - Komplett","11 612","37 456","10 619","32 642","10 318","31 524","10 461","32 054","6 958","21 225","7 907","24 253",10,2018,"Weiblich",2
"16","Alter: 10 - 15 ","1 082","2 175","1 070","2 151","1 063","2 137","1 069","2 150","213","430","285","572",10,2018,"Weiblich",2
"17","Alter: 16 - 24 ","1 180","3 695","1 178","3 682","1 172","3 653","1 177","3 678","855","2 619","964","2 978",10,2018,"Weiblich",2
"18","Alter: 25 - 44 ","2 816","10 118","2 813","10 092","2 804","10 054","2 807","10 067","2 497","8 848","2 659","9 474",10,2018,"Weiblich",2
"19","Alter: 45 - 64 ","4 331","12 358","4 148","11 664","4 013","11 221","4 082","11 457","2 861","7 626","3 305","8 949",10,2018,"Weiblich",2
"20","Alter: 65 Jahre und älter ","2 203","9 110","1 410","5 053","1 266","4 460","1 326","4 702","532","1 702","694","2 280",10,2018,"Weiblich",2
"21","Erwerbstätige 1) ……………………………………………","10 591","40 449","10 477","39 894","10 366","39 367","10 427","39 643","8 387","31 169","9 228","34 531",16,2018,"Total",3
"22","Arbeitslose ","720","2 465","677","2 291","624","2 098","642","2 158","390","1 245","471","1 559",16,2018,"Total",3
"23","Schüler/-innen und Studierende ","1 808","3 940","1 804","3 933","1 801","3 922","1 803","3 929","1 303","2 652","1 481","3 036",16,2018,"Total",3
"24","Rentner/-innen und andere nicht erwerbstätige Personen","6 499","22 663","5 046","15 916","4 690","14 620","4 828","15 140","2 708","7 792","3 267","9 656",16,2018,"Total",3
"25","Bildungsstand - Niedrig ","2 270","13 797","1 884","10 927","1 809","10 413","1 842","10 638","973","5 751","1 208","7 150",16,2018,"Total",3
"26","Bildungsstand - Mittel ","9 782","38 890","8 830","34 966","8 521","33 742","8 659","34 283","6 173","24 515","6 995","27 738",16,2018,"Total",3
"27","Bildungsstand - Hoch ","7 566","16 829","7 290","16 140","7 151","15 851","7 199","15 949","5 642","12 592","6 244","13 895",16,2018,"Total",3
