"Lfd. Nr.","Gegenstand der Nachweisung","Alle Personen: erfasste Anzahl","Alle Personen: hochgerechnet 1000","Internetnutzer/-innen: erfasste Anzahl","Internetnutzer/-innen: hochgerechnet 1000","Internetnutzer/-innen letzte 3 Monate: erfasste Anzahl","Internetnutzer/-innen letzte 3 Monate: hochgerechnet 1000","Internetnutzer/-innen letzte 12 Monate: erfasste Anzahl","Internetnutzer/-innen letzte 12 Monate: hochgerechnet 1000","Online-EInkäufer/-innen letzte 3 Monate: erfasste Anzahl","Online-EInkäufer/-innen letzte 3 Monate: hochgerechnet 1000","Online-EInkäufer/-innen letzte 12 Monate: erfasste Anzahl","Online-EInkäufer/-innen letzte 12 Monate: hochgerechnet 1000","StartingAge","SurvYear","Geschlecht","GeschlechtNum"
"1","Deutschland ……………………………………………","23 257","73 629","21 043","63 727","20 554","61 970","20 794","62 833",NA,NA,"15 612","47 769",10,2016,"Total",3
"2","Früheres Bundesgebiet (ohne Berlin-West)","18 596","59 157","16 911","51 640","16 552","50 306","16 726","50 950",NA,NA,"12 657","39 041",10,2016,"Total",3
"3","Neue Länder und Berlin ","4 661","14 472","4 132","12 087","4 002","11 664","4 068","11 883",NA,NA,"2 955","8 728",10,2016,"Total",3
"4","Alter: 10 - 15 ","2 452","4 380","2 416","4 311","2 393","4 272","2 409","4 300",NA,NA,"630","1 143",10,2016,"Total",3
"5","Alter: 16 - 24 ","2 466","7 587","2 458","7 560","2 450","7 524","2 458","7 560",NA,NA,"2 042","6 104",10,2016,"Total",3
"6","Alter: 25 - 44 ","5 573","20 265","5 539","20 026","5 513","19 878","5 534","20 004",NA,NA,"5 092","18 110",10,2016,"Total",3
"7","Alter: 45 - 64 ","8 284","24 292","7 809","22 466","7 599","21 742","7 704","22 100",NA,NA,"6 197","17 231",10,2016,"Total",3
"8","Alter: 65 Jahre und älter","4 482","17 105","2 821","9 364","2 599","8 553","2 689","8 869",NA,NA,"1 651","5 181",10,2016,"Total",3
"9","Männlich - Komplett","10 943","36 105","10 048","32 411","9 806","31 501","9 922","31 934",NA,NA,"7 434","24 446",10,2016,"Männlich",1
"10","Alter: 10 - 15 ","1 291","2 263","1 268","2 221","1 254","2 198","1 265","2 217",NA,NA,"354","622",10,2016,"Männlich",1
"11","Alter: 16 - 24 ","1 222","3 928","1 217","3 912","1 214","3 896","1 217","3 912",NA,NA,"1 006","3 103",10,2016,"Männlich",1
"12","Alter: 25 - 44 ","2 358","10 246","2 342","10 127","2 325","10 023","2 338","10 106",NA,NA,"2 130","9 019",10,2016,"Männlich",1
"13","Alter: 45 - 64","3 856","12 088","3 658","11 285","3 545","10 846","3 600","11 045",NA,NA,"2 918","8 676",10,2016,"Männlich",1
"14","Alter: 65 Jahre und älter","2 216","7 580","1 563","4 866","1 468","4 538","1 502","4 654",NA,NA,"1 026","3 026",10,2016,"Männlich",1
"15","Weiblich - Komplett","12 314","37 524","10 995","31 316","10 748","30 469","10 872","30 899",NA,NA,"8 178","23 323",10,2016,"Weiblich",2
"16","Alter: 10 - 15 ","1 161","2 117","1 148","2 091","1 139","2 075","1 144","2 083",NA,NA,"276","521",10,2016,"Weiblich",2
"17","Alter: 16 - 24 ","1 244","3 658","1 241","3 647","1 236","3 628","1 241","3 647",NA,NA,"1 036","3 001",10,2016,"Weiblich",2
"18","Alter: 25 - 44 ","3 215","10 020","3 197","9 899","3 188","9 855","3 196","9 898",NA,NA,"2 962","9 091",10,2016,"Weiblich",2
"19","Alter: 45 - 64 ","4 428","12 204","4 151","11 181","4 054","10 896","4 104","11 055",NA,NA,"3 279","8 556",10,2016,"Weiblich",2
"20","Alter: 65 Jahre und älter ","2 266","9 525","1 258","4 498","1 131","4 015","1 187","4 215",NA,NA,"625","2 154",10,2016,"Weiblich",2
"21","Erwerbstätige 1………………………………………………","10 906","39 211","10 722","38 268","10 615","37 820","10 685","38 107",NA,NA,"9 332","32 676",16,2016,"Total",3
"22","Arbeitslose ","897","2 718","791","2 321","747","2 144","772","2 262",NA,NA,"558","1 546",16,2016,"Total",3
"23","Schüler/-innen und Studierende ","2 027","4 297","2 020","4 286","2 016","4 274","2 019","4 283",NA,NA,"1 711","3 484",16,2016,"Total",3
"24","Rentner/-innen und andere nicht erwerbstätige Personen","6 975","23 023","5 094","14 541","4 783","13 459","4 909","13 881",NA,NA,"3 381","8 920",16,2016,"Total",3
"25","Bildungsstand - Niedrig ","2 438","14 361","1 922","10 534","1 862","10 111","1 892","10 327",NA,NA,"1 311","7 159",16,2016,"Total",3
"26","Bildungsstand - Mittel ","11 456","40 463","10 157","35 377","9 861","34 298","10 006","34 824",NA,NA,"8 090","27 994",16,2016,"Total",3
"27","Bildungsstand - Hoch ","6 911","14 425","6 548","13 506","6 438","13 288","6 487","13 382",NA,NA,"5 581","11 472",16,2016,"Total",3
